abk	UN	Abkhaz	Office of the High Commissioner for Human Rights - Georgia Field Office
atj	other	Achehnese	Asnawi Ali
jiv	UN	Achuar Chicham	Office of the High Commissioner for Human Rights - Ecuador Field Office
acu	other	Achuar-Shiwiar	Coordinadora Nacional de Derechos Humanos, Peru
ajg	other	Adja	Commission béninoise des Droits de l'Homme, Benin
ady	other	Adyghe	Federation of Caucasian Assocations in Turkey (Kaffed)
gax	other	Afaan Oromo (Oromiffa)	Dema Translation and Editing Service
afk	UN	Afrikaans	United Nations Information Centre, Namibia
agr	other	Aguaruna	Coordinadora Nacional de Derechos Humanos, Peru
ccc	UN	A'ingae	Office of the High Commissioner for Human Rights - Ecuador Field Office
tws1	other	Akuapem Twi	National Association of Negro Business and Professional Women's Clubs, US
aln	UN	Albanian	United Nations Department of Public Information, NY
alt	UN	Altay	Office of the High Commissioner for Human Rights - Russian Federation
amc	other	Amahuaca	Coordinadora Nacional de Derechos Humanos, Peru
amr	other	Amarakaeri	Coordinadora Nacional de Derechos Humanos, Peru
ama	other	Amazigh	Réseau Amazigh pour la Citoyenneté
amh	other	Amharic	National Commission for UNESCO, Ethiopia
ame	other	Amuesha-Yanesha	Coordinadora Nacional de Derechos Humanos, Peru
njo	other	Ao	People’s Watch, India
arl	other	Arabela	Coordinadora Nacional de Derechos Humanos, Peru
arz	original	Arabic (Alarabia)	United Nations Department of Public Information, NY
arm	UN	Armenian	United Nations Department of Public Information, NY
ass	other	Asante	National Association of Negro Business and Professional Women's Clubs, US
cni	other	Asháninca	Coordinadora Nacional de Derechos Humanos, Peru
cpu	other	Ashéninca	Coordinadora Nacional de Derechos Humanos, Peru
asm	UN	Assamese	United Nations Department of Public Information, NY
aii	other	Assyrian (Atoraya)	Journal of Assyrian Academic Studies, USA (Philimon Darmo)
aub	other	Asturian (Bable)	Academia de la Llingua Asturiana, Spain
awa	other	Awadhi	People’s Watch, India
kwi	UN	Awapit	Office of the High Commissioner for Human Rights - Ecuador Field Office
aym	other	Aymara	Coordinadora Nacional de Derechos Humanos, Peru
azb1	UN	Azeri/Azerbaijani (Cyrillic)	United Nations Department of Public Information, NY
azb	UN	Azeri/Azerbaijani (Latin)	United Nations Department of Public Information, NY
aub	other	Bable (Asturian)	Academia de la Llingua Asturiana, Spain
inz	UN	Bahasa Indonesia	United Nations Information Centre, Indonesia
mli	other	Bahasa Melayu (Malay)	Diffusion Multilingue des Droits de l'Homme, France
1121	UN	Bai Coca	Office of the High Commissioner for Human Rights - Ecuador Field Office
bvi	UN	Balanda Viri	United Nations Mission In Sudan
bzc	UN	Balinese	United Nations Information Centre, Indonesia
bgp	UN	Balochi	United Nations Information Centre, Pakistan
bra	other	Bambara	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with l'Agence de Coopération Culturelle et Technique
bci	other	Baoulé/Baule	Diffusion Multilingue des Droits de l'Homme, France
brd	other	Baram	Nepal Baram Association
bfa	UN	Bari	United Nations Mission In Sudan
bsq	UN	Basque (Euskara)	United Nations Information Centre, Spain
bba	other	Batonu (Bariba)	Commission béniniose des Droits de l'Homme
ruw	UN	Belorus (Belaruski)	Permanent Mission of the Republic of Belarus to the United Nations Office in Geneva
bem	UN	Bemba	United Nations Information Centre, Zambia
bng	UN	Bengali	United Nations Department of Public Information, NY
btb	UN	Béti	United Nations Information Centre, Cameroon
bhj	UN	Bhojpuri	United Nations Information Centre, India
bcy	other	Bichelamar	Amnesty International, UK
bkl	other	Bikol/Bicolano	Carpio Center for Human Rights, The Philippines
boa	other	Bora	Coordinadora Nacional de Derechos Humanos, Peru
src4	UN	Bosnian (Cyrillic script)	United Nations Mission In Bosnia and Herzegovina
src1	UN	Bosnian (Latin script)	United Nations Mission In Bosnia and Herzegovina
brt	other	Breton	Diffusion Multilingue des Droits de l'Homme, France
bpr	UN	Bugisnese	United Nations Information Centre, Indonesia
blg	UN	Bulgarian (Balgarski)	United Nations Information Centre, Bulgaria
bms	UN	Burmese/Myanmar	United Nations Information Centre, Myanmar
cak1	other	Cakchiquel	Instituto de Linguistica, Argentina
cpp	other	Campa pajonalino	Coordinadora Nacional de Derechos Humanos, Peru
cbu	other	Candoshi-Shapra	Coordinadora Nacional de Derechos Humanos, Peru
cot	other	Caquinte	Coordinadora Nacional de Derechos Humanos, Peru
cbr	other	Cashibo-Cacataibo	Coordinadora Nacional de Derechos Humanos, Peru
cbs	other	Cashinahua	Coordinadora Nacional de Derechos Humanos, Peru
cln	UN	Catalan (Català)	United Nations Information Centre, Spain
ceb	UN	Cebuano	United Nations Information Centre, The Philippines
1122	UN	Chaa'pala	Office of the High Commissioner for Human Rights - Ecuador Field Office
cjd	UN	Chamorro	United Nations Department of Public Information, NY
tso	other	Changane (Mozambique)	Procuradoria-Geral da Republica, Portugal
chx	other	Chantyal	Nepal Chhantyal Association
cbt	other	Chayahuita	Coordinadora Nacional de Derechos Humanos, Peru
nyj1	other	Chechewa (Nyanja)	Amnesty International, UK
hne	other	Chhattisgarhi	People’s Watch, India
cic	other	Chickasaw	Catherine Willmond and Pamela Munro (University of California, Los Angeles, US)
fal	UN	Chin Falam	United Nations Department of Public Information, Myanmar
hak	UN	Chin Hakha	United Nations Department of Public Information, Myanmar
hlt	other	Chin Matu (Nga La)	Chin Human Rights Organization
tid	UN	Chin Tiddim	United Nations Department of Public Information, Myanmar
csa	UN	Chinanteco	United Nations Department of Public Information, NY, in cooperation with the Ministry of Education, Mexico
chj	other	Chinanteco, Ajitlán	Amnesty International, UK
chn	original	Chinese (Mandarin)	United Nations Department of Public Information, NY
cax	UN	Chiquitano	Office of the High Commissioner for Human Rights - Bolivia
tru1	UN	Chuuk (Trukese)	United Nations Department of Public Information, NY
cjk	UN	Cokwe	United Nations Educational, Scientific and Cultural Organization, Angola
coi	other	Corsican	Diffusion Multilingue des Droits de l'Homme, France
kea	other	Crioulo (Cabo Verde)	Procuradoria-Geral da Republica, Portugal
gbc	other	Crioulo da Guiné-Bissau (Guinea Bissau Creole)	Procuradoria-Geral da Republica, Portugal
src2	UN	Croatian	Permanent Mission of the Republic of Croatia to the United Nations Office in Geneva
wls	UN	Cymraeg (Welsh)	United Nations Association, Wales
czc	UN	Czech (Cesky)	United Nations Information Centre, NY
dga	UN	Dagaare	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
dag	UN	Dagbani	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
gac1	UN	Dangme	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
dns	UN	Danish (Dansk)	United Nations Information Centre, Denmark
dhw	other	Danuwar	Danuwar Jagaran Samiti
prs1	other	Dari	Cooperation Centre for Afghanistan and UNDP/UNOCHA, Pakistan
den	other	Dendi	Commission béniniose des Droits de l'Homme
div	other	Dhivehi (Maldivian)	Human Rights Commission of the Maldives, Maldives
nav	other	Dine, Navajo (Navaho)	Navajo Interpreting Services, US
dinka	UN	Dinka	United Nations Mission In Sudan
dyo	other	Diola (Jola-Fogny)	Tostan, Senegal
dyu	UN	Dioula	United Nations Operation in Cote d'Ivoire
tbz	other	Ditammari	Commission béninoise des Droits de l'Homme, Benin
dut	UN	Dutch (Nederlands)	United Nations Department of Public Information, NY
dzo	UN	Dzongkha/Bhutanese	United Nations Information Centre, India
edo	UN	Edo	United Nations Information Centre, NY
ibb	UN	Efik (Ibibio)	United Nations Department of Public Information, NY
grk	UN	Ellinika' (Greek)	United Nations Information Centre, Greece
eng	original	English	United Nations Department of Public Information, NY
spn	original	Español (Spanish)	United Nations Department of Public Information, NY
1115	other	Esperanto	Universala Esperanto Asocio Rotterdam, The Netherlands
est	other	Estonian (Eesti)	Estonian Human Rights Institute, Estonia
bsq	UN	Euskara (Basque)	United Nations Information Centre, Spain
eve	other	Even	Amnesty International, UK
evn	UN	Evenki	Office of the High Commissioner for Human Rights - Russian Federation
ewe	UN	Ewe/Eve	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
tws3	UN	Fante	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
fae	UN	Faroese	United Nations Information Centre, Denmark
prs	UN	Farsi/Persian	United Nations Information Centre, Iran
fji	UN	Fijian	United Nations Development Programme, Fiji
tgl	UN	Filipino (Tagalog)	United Nations Department of Public Information, NY
fin	UN	Finnish	United Nations Information Centre, Denmark
kng	other	Fiote (Angola)	Procuradoria-Geral da Republica, Portugal
foa	other	Fon	Commission béninoise des Droits de l'Homme, Benin
1128	other	Forro	Procuradoria-Geral da Republica, Portugal
Fr3	other	Francoprovençal, Fribourg	Anne-Marie Yerly
fr2	other	Francoprovençal, Savoie	Anne-Marie Bimet
frp	other	Francoprovençal, Valais	Alphonse Dayer
fr4	other	Francoprovençal, Vaud	Marie-Louise Goumaz
frn	original	French (Français)	United Nations Department of Public Information, NY
fri	UN	Frisian	United Nations Information Centre, Belgium
frl	other	Friulian (Friulano)	Associazione Proiezione Peters, Italy
gac2	UN	Ga	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
gli1	UN	Gaeilge (Irish Gaelic)	United Nations Department of Public Information, NY
gag	other	Gagauz	Amnesty International, UK
gls	other	Gàidhlig Albanach (Scottish Gaelic)	Diffusion Multilingue des Droits de l'Homme, France
gln	UN	Galician (Galego)	United Nations Information Centre, Spain, in cooperation with the Dirección Xeral de Política Lingnistica de la Consellería de Educación y Ordenación Universitaria de la Xunta de Galicia
gbm	other	Garhwali	People’s Watch, India
cab	other	Garifuna	Coordinadora Nacional de Derechos Humanos, Peru
geo	other	Georgian	Caucasian Institute, Georgia
ger	other	German (Deutsch)	UN Department for General Assembly and Conference Management German Translation Service, NY
gno	other	Gondi, Northern	People’s Watch, India
dum	UN	Gonja	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
grk	UN	Greek (Ellinika')	United Nations Information Centre, Greece
esg	UN	Greenlandic (Inuktikut)	United Nations Information Centre, Denmark
gun	other	Guarani	Consejo Indio de Sur America, Peru
gua	other	Guarayo	(no attribution)
hna	other	Guen (Mina)	Commission béninoise des Droits de l'Homme, Benin
gjr	UN	Gujarati	United Nations Department of Public Information, NY
gvr	other	Gurung	Tamu Hyula Chhojdhin
hat	UN	Haitian Creole (Kreyol)	United Nations Department of Public Information, NY
hat1	UN	Haitian Creole (popular)	United Nations Development Programme, Haiti
hni	UN	Hani	United Nations Development Programme, China
kkn	UN	Hankuko (Korean)	United Nations Educational, Scientific and Cultural Organization, Paris
gej	other	Hausa/Haoussa	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with l'Agence de Coopération Culturelle et Technique
hwi	other	Hawaiian	Hawaii Institute for Human Rights, US
hbr	UN	Hebrew	Permanent Mission of Israel to the United Nations Office in Geneva
hil	UN	Hiligaynon	United Nations Information Centre, The Philippines
hnd	UN	Hindi	United Nations Department of Public Information, NY
hea	UN	Hmong (Miao) Northern East-Guizhou	United Nations Development Programme, China
hms	UN	Hmong (Miao) Southern East-Guizhou	United Nations Development Programme, China
blu	UN	Hmong (Miao), Sichuan-Guizhou-Yunnan	United Nations Development Programme, China
Hoc	other	Ho	People’s Watch, India
src2	UN	Hrvatski (Croatian)	Permanent Mission of the Republic of Croatia to the United Nations Office in Geneva
hus	other	Huastec, Veracruz	Comisión de Derechos Humanos del Estado de Veracruz
hva	UN	Huasteco	United Nations Information Centre, Mexico in cooperation with the National Human Rights Commission Indigena
huu	other	Huitoto Murui	Ministerio de Educacion, Peru
hng	UN	Hungarian	United Nations Department of Public Information, NY
scp	other	Hyolmo	Nepal Hyolmo Social Service Association
ibb	UN	Ibibio	United Nations Department of Public Information, NY
ice	UN	Icelandic (íslenska)	United Nations Information Centre, Denmark
1120	other	Ido	International Language Ido, Germany
igr	other	Igbo	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with l'Agence de Coopération Culturelle et Technique
ilo	other	Iloko/Ilocano	Commission on Human Rights, The Philippines
inz	UN	Indonesian	United Nations Information Centre, Indonesia
1119	other	Interlingua	Union Mundial pro Interlingua, The Netherlands
esg	UN	Inuktikut (Greenlandic)	United Nations Information Centre, Denmark
esb	UN	Inuktitut	Permanent Mission of Canada to the United Nations Office in Geneva
gli1	UN	Irish Gaelic	United Nations Department of Public Information, NY
itn	UN	Italian	United Nations Information Centre, Italy
hbr	UN	Ivrit (Hebrew)	Permanent Mission of Israel to the United Nations Office in Geneva
jpn	UN	Japanese (Nihongo)	United Nations Information Centre, Japan, and the Ministry of Justice and Human Rights NGOs
jan	UN	Javanese	United Nations Information Centre, Indonesia
jul	other	Jirel	Jirel Association Nepal
maz	UN	Jñatrjo (Mazahua)	United Nations Information Centre, Mexico, in cooperation with the Ministry of Education
dyo	other	Jola-Fogny (Diola)	Tostan, Senegal
kbd	other	Kabardian	Federation of Caucasian Assocations in Turkey (Kaffed)
kbp	UN	Kabyè	United Nations Information Centre, Togo
bjj	other	Kanauji	People’s Watch, India
kjv	other	Kannada	Former OHCHR Intern
kph	UN	Kanuri Yerwa	United Nations Information Centre, NY
kqn	UN	Kaonde	United Nations Information Centre, Zambia
pmp	other	Kapampangan	Komisyon ng Karapatang Pantao, The Philippines
krl	UN	Karelian	Office of the High Commissioner for Human Rights - Russian Federation
pwo	UN	Karen (Pwo)	United Nations Information Centre, Burma
ksw	UN	Karen (S'gaw)	United Nations Information Centre, Burma
kas	UN	Kasem	United Nations Department of Public Information, NY, jointly with Bureau des langues du Ghana and Association of Negro Business and Professional Women's Clubs
ksh	UN	Kashmiri	United Nations Information Centre, India
kaz	UN	Kazakh	United Nations Department of Public Information, Kazakhstan
kjh	UN	Khakas	Office of the High Commissioner for Human Rights - Russian Federation
khk	other	Khalkha (Mongolian)	CHR Technical Cooperation Branch, Mongolia
khr	other	Kharia	People’s Watch, India
kha	other	Khasi	Meghalaya Peoples Human Rights Council
khm	other	Khmer	Cambodia Documentation Commission, Cambodia
buc	other	Kibushi	Service linguistique du Conseil Général de Mayotte
1117	other	K'iche' (Quiché)	Instituto de Linguistica, Argentina
qug	UN	Kichwa	Office of the High Commissioner for Human Rights - Ecuador Field Office
kon	UN	Kikongo ya L'Etat (Kikongo/Kituba)	Office of the High Commissioner for Human Rights - Congo Field Office
mlo	UN	Kimbundu	United Nations Educational, Scientific and Cultural Organization, Angola
nyz	UN	Kinyamwezi (Nyamwezi)	United Nations Development Programme, Tanzania
rua1	UN	Kinyarwanda	United Nations Department of Public Information, NY
kis	other	Kisan	Kisan Community Development Foundation
suz	other	Koits-Sunuwar	Sunuwar Welfare Society
koi	UN	Komi-Permian	Office of the High Commissioner for Human Rights - Russian Federation
kkn	UN	Korean (Hankuko)	United Nations Educational, Scientific and Cultural Organization, Paris
kou	UN	Koulango	United Nations Operation in Cote d'Ivoire
gkp1	other	Kpelewo	Ministère de l'Education Nationale, Guinea
hat	UN	Kreyol (Haitian Creole)	United Nations Department of Public Information, NY
kri	other	Krio	National Commission for Democracy and Human Rights, Sierra Leone
kdb1	other	Kurdish	Kurdish Institute, France
kur	UN	Kurmanji	United Nations Development Programme, Iraq
kfa	other	Kurug	People’s Watch, India
kdo	UN	Kyrgyz	Permanent Mission of the Kyrgyz Republic to the United Nations Office in Geneva
lld	other	Ladin	Office for Language Issues and Press Office of the Autonomous Province of Bolzano/Bozen/Balsan
lad	other	Ladino	Ladinokomunita
nso	other	Lamnso' (Lám nso')	Executive Committee of the Nso' Language Organisation
nol	UN	Lao	United Nations Department of Public Information, NY
ltn	other	Latin (Latina)	Classes 3AB1 - 3B2 Gymnase de Nyon, Suisse
ltn1	other	Latin (Latina)	Liceo Ginnasio Statale "Socrate" Rome, Italy
lat	other	Latvian	Human Rights Institute of the University of Latvia
lhm	other	Lhomi	Lhomi (Shingsa) Kalyan Kendra and Nepal Lhomi Society
lij	other	Ligurian	A Compagna di Zoeni
lia	other	Limba	National Commission for Democracy and Human Rights, Sierra Leone
lif	other	Limbu	Kirat Yakthung Chumlung
lin	UN	Lingala	United Nations Information Centre, Democratic Republic of the Congo
lit	other	Lithuanian (Lietuviskai)	Amnesty International, UK
